item_id,city,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date
T6_PLANKS_LEVEL2@2,Thetford,15331.0,2023-09-26T14:55:00,16356.0,2023-09-26T14:55:00
T6_PLANKS_LEVEL3@3,Bridgewatch,,,,
T6_PLANKS_LEVEL3@3,Fort Sterling,43491.0,2023-09-26T16:30:00,46260.0,2023-09-26T16:30:00
T6_PLANKS_LEVEL3@3,Lymhurst,,,,
T6_PLANKS_LEVEL3@3,Martlock,49396.0,2023-09-26T12:10:00,49500.0,2023-09-26T12:10:00
T6_PLANKS_LEVEL3@3,Thetford,50997.0,2023-09-26T18:35:00,57990.0,2023-09-26T18:35:00
T6_PLANKS_LEVEL4@4,Bridgewatch,300000.0,2023-09-26T18:55:00,350000.0,2023-09-26T18:55:00
T6_PLANKS_LEVEL4@4,Fort Sterling,255545.0,2023-09-26T18:45:00,290018.0,2023-09-26T18:45:00
T6_PLANKS_LEVEL4@4,Lymhurst,249999.0,2023-09-26T18:50:00,265000.0,2023-09-26T18:50:00
T6_PLANKS_LEVEL4@4,Martlock,,,,
T6_PLANKS_LEVEL4@4,Thetford,274999.0,2023-09-26T18:30:00,350000.0,2023-09-26T18:30:00
T6_WOOD,Bridgewatch,585.0,2023-09-26T19:35:00,782.0,2023-09-26T19:35:00
T6_WOOD,Fort Sterling,628.0,2023-09-26T23:40:00,664.0,2023-09-26T23:40:00
T6_WOOD,Lymhurst,616.0,2023-09-26T23:50:00,650.0,2023-09-26T23:50:00
T6_WOOD,Martlock,583.0,2023-09-26T22:30:00,583.0,2023-09-26T22:30:00
T6_WOOD,Thetford,591.0,2023-09-26T18:35:00,625.0,2023-09-26T18:35:00
T6_WOOD_LEVEL1@1,Bridgewatch,838.0,2023-09-26T14:05:00,968.0,2023-09-26T14:05:00
T6_WOOD_LEVEL1@1,Fort Sterling,926.0,2023-09-27T00:30:00,1034.0,2023-09-27T00:30:00
T6_WOOD_LEVEL1@1,Lymhurst,915.0,2023-09-26T23:20:00,942.0,2023-09-26T23:20:00
T6_WOOD_LEVEL1@1,Martlock,934.0,2023-09-26T22:10:00,934.0,2023-09-26T22:10:00
T6_WOOD_LEVEL1@1,Thetford,926.0,2023-09-26T23:35:00,960.0,2023-09-26T23:35:00
T6_WOOD_LEVEL2@2,Bridgewatch,4645.0,2023-09-26T13:25:00,4801.0,2023-09-26T13:25:00
T6_WOOD_LEVEL2@2,Fort Sterling,5150.0,2023-09-27T00:35:00,5221.0,2023-09-27T00:35:00
T6_WOOD_LEVEL2@2,Lymhurst,5098.0,2023-09-26T11:35:00,5098.0,2023-09-26T11:35:00
T6_WOOD_LEVEL2@2,Martlock,4673.0,2023-09-26T22:30:00,4673.0,2023-09-26T22:30:00
T6_WOOD_LEVEL2@2,Thetford,5100.0,2023-09-26T21:00:00,5579.0,2023-09-26T21:00:00
T6_WOOD_LEVEL3@3,Bridgewatch,,,,
T6_WOOD_LEVEL3@3,Fort Sterling,16644.0,2023-09-26T18:55:00,16972.0,2023-09-26T18:55:00
T6_WOOD_LEVEL3@3,Lymhurst,16071.0,2023-09-26T18:25:00,16097.0,2023-09-26T18:25:00
T6_WOOD_LEVEL3@3,Martlock,,,,
T6_WOOD_LEVEL3@3,Thetford,15392.0,2023-09-26T20:00:00,15564.0,2023-09-26T20:00:00
T6_WOOD_LEVEL4@4,Bridgewatch,,,,
T6_WOOD_LEVEL4@4,Fort Sterling,119998.0,2023-09-26T09:20:00,125000.0,2023-09-26T09:20:00
T6_WOOD_LEVEL4@4,Lymhurst,100976.0,2023-09-26T17:40:00,113993.0,2023-09-26T17:40:00
T6_WOOD_LEVEL4@4,Martlock,,,,
T6_WOOD_LEVEL4@4,Thetford,99998.0,2023-09-26T18:30:00,114953.0,2023-09-26T18:30:00
T7_PLANKS,Bridgewatch,5202.0,2023-09-26T17:20:00,5998.0,2023-09-26T17:20:00
T7_PLANKS,Fort Sterling,5146.0,2023-09-27T00:35:00,5321.0,2023-09-27T00:35:00
T7_PLANKS,Lymhurst,5036.0,2023-09-27T00:35:00,6146.0,2023-09-27T00:35:00
T7_PLANKS,Martlock,5174.0,2023-09-26T23:00:00,5562.0,2023-09-26T23:00:00
T7_PLANKS,Thetford,5080.0,2023-09-27T00:35:00,5446.0,2023-09-27T00:35:00
T7_PLANKS_LEVEL1@1,Bridgewatch,,,,
T7_PLANKS_LEVEL1@1,Fort Sterling,10297.0,2023-09-26T16:30:00,12500.0,2023-09-26T16:30:00
T7_PLANKS_LEVEL1@1,Lymhurst,10208.0,2023-09-27T00:35:00,11345.0,2023-09-27T00:35:00
T7_PLANKS_LEVEL1@1,Martlock,10763.0,2023-09-26T19:40:00,11869.0,2023-09-26T19:40:00
T7_PLANKS_LEVEL1@1,Thetford,10740.0,2023-09-27T00:35:00,10860.0,2023-09-27T00:35:00
T7_PLANKS_LEVEL2@2,Bridgewatch,,,,
T7_PLANKS_LEVEL2@2,Fort Sterling,37678.0,2023-09-26T22:05:00,41154.0,2023-09-26T22:05:00
T7_PLANKS_LEVEL2@2,Lymhurst,39768.0,2023-09-26T17:00:00,42898.0,2023-09-26T17:00:00
T7_PLANKS_LEVEL2@2,Martlock,,,,
T7_PLANKS_LEVEL2@2,Thetford,38761.0,2023-09-26T01:05:00,44935.0,2023-09-26T01:05:00
T7_PLANKS_LEVEL3@3,Bridgewatch,,,,
T7_PLANKS_LEVEL3@3,Fort Sterling,109985.0,2023-09-26T16:30:00,128333.0,2023-09-26T16:30:00
T7_PLANKS_LEVEL3@3,Lymhurst,,,,
T7_PLANKS_LEVEL3@3,Martlock,,,,
T7_PLANKS_LEVEL3@3,Thetford,104666.0,2023-09-26T01:05:00,128333.0,2023-09-26T01:05:00
T7_PLANKS_LEVEL4@4,Bridgewatch,688999.0,2023-09-26T03:30:00,689999.0,2023-09-26T03:30:00
T7_PLANKS_LEVEL4@4,Fort Sterling,639995.0,2023-09-26T16:30:00,899999.0,2023-09-26T16:30:00
T7_PLANKS_LEVEL4@4,Lymhurst,,,,
T7_PLANKS_LEVEL4@4,Martlock,,,,
T7_PLANKS_LEVEL4@4,Thetford,674998.0,2023-09-26T18:30:00,674998.0,2023-09-26T18:30:00
T7_WOOD,Bridgewatch,975.0,2023-09-26T18:40:00,1045.0,2023-09-26T18:40:00
T7_WOOD,Fort Sterling,1299.0,2023-09-27T00:35:00,1487.0,2023-09-27T00:35:00
T7_WOOD,Lymhurst,1095.0,2023-09-26T19:00:00,1095.0,2023-09-26T19:00:00
T7_WOOD,Martlock,976.0,2023-09-26T20:15:00,1030.0,2023-09-26T20:15:00
T7_WOOD,Thetford,994.0,2023-09-26T18:15:00,1208.0,2023-09-26T18:15:00
T7_WOOD_LEVEL1@1,Bridgewatch,2485.0,2023-09-27T00:10:00,2578.0,2023-09-27T00:10:00
T7_WOOD_LEVEL1@1,Fort Sterling,2868.0,2023-09-27T00:30:00,2966.0,2023-09-27T00:30:00
T7_WOOD_LEVEL1@1,Lymhurst,2445.0,2023-09-26T22:45:00,2507.0,2023-09-26T22:45:00
T7_WOOD_LEVEL1@1,Martlock,2481.0,2023-09-27T00:35:00,2546.0,2023-09-27T00:35:00
T7_WOOD_LEVEL1@1,Thetford,2500.0,2023-09-26T20:50:00,2596.0,2023-09-26T20:50:00
T7_WOOD_LEVEL2@2,Bridgewatch,,,,
T7_WOOD_LEVEL2@2,Fort Sterling,10698.0,2023-09-26T09:20:00,11246.0,2023-09-26T09:20:00
T7_WOOD_LEVEL2@2,Lymhurst,,,,
T7_WOOD_LEVEL2@2,Martlock,,,,
T7_WOOD_LEVEL2@2,Thetford,9992.0,2023-09-26T01:05:00,10177.0,2023-09-26T01:05:00
T7_WOOD_LEVEL3@3,Bridgewatch,,,,
T7_WOOD_LEVEL3@3,Fort Sterling,33925.0,2023-09-26T09:25:00,39899.0,2023-09-26T09:25:00
T7_WOOD_LEVEL3@3,Lymhurst,,,,
T7_WOOD_LEVEL3@3,Martlock,,,,
T7_WOOD_LEVEL3@3,Thetford,31066.0,2023-09-26T01:05:00,31994.0,2023-09-26T01:05:00
T7_WOOD_LEVEL4@4,Bridgewatch,,,,
T7_WOOD_LEVEL4@4,Fort Sterling,202959.0,2023-09-26T09:20:00,207991.0,2023-09-26T09:20:00
T7_WOOD_LEVEL4@4,Lymhurst,,,,
T7_WOOD_LEVEL4@4,Martlock,,,,
T7_WOOD_LEVEL4@4,Thetford,192990.0,2023-09-26T01:05:00,194850.0,2023-09-26T01:05:00
T8_PLANKS,Bridgewatch,19944.0,2023-09-26T17:35:00,24000.0,2023-09-26T17:35:00
T8_PLANKS,Fort Sterling,18857.0,2023-09-26T20:40:00,23998.0,2023-09-26T20:40:00
T8_PLANKS,Lymhurst,18995.0,2023-09-26T17:05:00,19956.0,2023-09-26T17:05:00
T8_PLANKS,Martlock,19698.0,2023-09-26T17:10:00,21892.0,2023-09-26T17:10:00
T8_PLANKS,Thetford,18987.0,2023-09-26T17:15:00,19257.0,2023-09-26T17:15:00
T8_PLANKS_LEVEL1@1,Bridgewatch,36909.0,2023-09-26T17:35:00,36914.0,2023-09-26T17:35:00
T8_PLANKS_LEVEL1@1,Fort Sterling,37897.0,2023-09-26T16:30:00,46999.0,2023-09-26T16:30:00
T8_PLANKS_LEVEL1@1,Lymhurst,35998.0,2023-09-26T17:05:00,40590.0,2023-09-26T17:05:00
T8_PLANKS_LEVEL1@1,Martlock,41931.0,2023-09-26T23:10:00,43999.0,2023-09-26T23:10:00
T8_PLANKS_LEVEL1@1,Thetford,37993.0,2023-09-26T12:00:00,38724.0,2023-09-26T12:00:00
T8_PLANKS_LEVEL2@2,Bridgewatch,,,,
T8_PLANKS_LEVEL2@2,Fort Sterling,100980.0,2023-09-26T16:30:00,114443.0,2023-09-26T16:30:00
T8_PLANKS_LEVEL2@2,Lymhurst,,,,
