item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T4_HIDE_LEVEL3@3,Fort Sterling,1,5490,2023-09-26T21:20:00,5781,2023-09-26T21:20:00,3,2023-09-26T17:10:00,5403,2023-09-26T17:10:00
T4_HIDE_LEVEL3@3,Lymhurst,1,5576,2023-09-26T19:00:00,5576,2023-09-26T19:00:00,3,2023-09-26T12:45:00,5203,2023-09-26T12:45:00
T4_HIDE_LEVEL3@3,Martlock,1,6247,2023-09-26T17:05:00,6996,2023-09-26T17:05:00,2,2023-09-26T21:20:00,6015,2023-09-26T21:20:00
T4_HIDE_LEVEL3@3,Thetford,1,5795,2023-09-26T13:00:00,6038,2023-09-26T13:00:00,3,2023-09-26T13:00:00,5503,2023-09-26T13:00:00
T4_HIDE_LEVEL4@4,Bridgewatch,1,48837,2023-09-26T22:25:00,48850,2023-09-26T22:25:00,3,2023-09-26T16:55:00,42000,2023-09-26T16:55:00
T4_HIDE_LEVEL4@4,Fort Sterling,1,,,,,,,,
T4_HIDE_LEVEL4@4,Lymhurst,1,51115,2023-09-27T00:50:00,54000,2023-09-27T00:50:00,3,2023-09-26T12:45:00,40001,2023-09-26T12:45:00
T4_HIDE_LEVEL4@4,Martlock,1,44998,2023-09-26T21:20:00,45000,2023-09-26T21:20:00,3,2023-09-26T12:55:00,40802,2023-09-26T12:55:00
T4_HIDE_LEVEL4@4,Thetford,1,46999,2023-09-26T18:35:00,47999,2023-09-26T18:35:00,113,2023-09-26T13:00:00,41500,2023-09-26T13:00:00
T4_LEATHER,Bridgewatch,1,202,2023-09-26T20:35:00,212,2023-09-26T20:35:00,1,2023-09-26T20:25:00,185,2023-09-26T20:25:00
T4_LEATHER,Fort Sterling,1,205,2023-09-26T19:40:00,212,2023-09-26T19:40:00,3,2023-09-26T19:40:00,196,2023-09-26T19:40:00
T4_LEATHER,Lymhurst,1,216,2023-09-27T00:30:00,216,2023-09-27T00:30:00,215,2023-09-27T00:30:00,215,2023-09-27T00:30:00
T4_LEATHER,Martlock,1,194,2023-09-27T00:15:00,195,2023-09-27T00:15:00,170,2023-09-27T00:15:00,193,2023-09-27T00:15:00
T4_LEATHER,Thetford,1,207,2023-09-26T18:55:00,222,2023-09-26T18:55:00,3,2023-09-26T18:55:00,186,2023-09-26T18:55:00
T4_LEATHER_LEVEL1@1,Bridgewatch,1,399,2023-09-26T15:05:00,485,2023-09-26T15:05:00,3,2023-09-26T12:50:00,394,2023-09-26T12:50:00
T4_LEATHER_LEVEL1@1,Fort Sterling,1,402,2023-09-26T18:50:00,538,2023-09-26T18:50:00,399,2023-09-26T18:45:00,399,2023-09-26T18:45:00
T4_LEATHER_LEVEL1@1,Lymhurst,1,409,2023-09-26T15:45:00,409,2023-09-26T15:45:00,3,2023-09-26T12:50:00,386,2023-09-26T12:50:00
T4_LEATHER_LEVEL1@1,Martlock,1,407,2023-09-27T00:15:00,459,2023-09-27T00:15:00,3,2023-09-27T00:15:00,403,2023-09-27T00:15:00
T4_LEATHER_LEVEL1@1,Thetford,1,384,2023-09-26T18:55:00,410,2023-09-26T18:55:00,3,2023-09-26T13:00:00,383,2023-09-26T13:00:00
T4_LEATHER_LEVEL2@2,Bridgewatch,1,1440,2023-09-26T17:00:00,1440,2023-09-26T17:00:00,3,2023-09-26T16:50:00,1360,2023-09-26T16:50:00
T4_LEATHER_LEVEL2@2,Fort Sterling,1,1378,2023-09-26T18:50:00,1499,2023-09-26T18:50:00,3,2023-09-26T18:50:00,1211,2023-09-26T18:50:00
T4_LEATHER_LEVEL2@2,Lymhurst,1,1379,2023-09-27T01:10:00,3722,2023-09-27T01:10:00,3,2023-09-27T01:05:00,1306,2023-09-27T01:05:00
T4_LEATHER_LEVEL2@2,Martlock,1,1329,2023-09-26T20:50:00,2499,2023-09-26T20:50:00,1,2023-09-26T20:50:00,1292,2023-09-26T20:50:00
